ies,sigla,uf,publica_privada,qde_cursos_fez_enade,qde_cursos_cpc,igc,igc_faixa
FACULDADE DE CIÊNCIAS DA FUNDAÇÃO INSTITUTO TECNOLÓGICO DE OSASCO,FAC-FITO,SP,Municipal,8,6,211,3
FACULDADE DE CIÊNCIAS HUMANAS DE ITABIRA,FACHI,MG,Privada,1,1,270,3
FACULDADE DE CIENCIAS ADMINISTRATIVAS E CONTABEIS,FACCI,MG,Privada,3,2,222,3
"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE BOA ESPERANÇA",FAFIBE,MG,Privada,1,1,180,2
CONSERVATÓRIO DE MÚSICA DE NITERÓI,CMN,RJ,Privada,1,1,241,3
ESCOLA DE MÚSICA E BELAS ARTES DO PARANÁ,EMBAP,PR,Estadual,1,1,259,3
FACULDADE DE ARTES DO PARANA,FAP,PR,Estadual,3,2,229,3
INSTITUTO TECNOLÓGICO DE AERONÁUTICA,ITA,SP,Federal,3,3,478,5
FACULDADE DE CIENCIAS CONTABEIS E ADMINISTRATIVAS DE CACHOEIRO DO ITAPEMIRIM,FACCACI,ES,Privada,2,2,167,2
ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA DE CRUZEIRO PREFEITO HAMILTON VIEIRA MENDES,ESEFIC,SP,Municipal,3,1,262,3
FACULDADE DE FILOSOFIA SANTA DOROTÉIA,FFSD,RJ,Privada,6,6,282,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS PROFESSORA NAIR FORTES ABU-MERHY,FAFI - PRONAFOR,MG,Privada,5,4,170,2
CENTRO DE ESTUDOS SUPERIORES DE MACEIÓ,CESMAC,AL,Privada,27,23,116,2
FACULDADES INTEGRADAS SILVA E SOUZA,FAU,RJ,Privada,1,1,96,2
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS CARLOS QUEIROZ,FAFIQUE,SP,Privada,3,2,146,2
FACULDADE CENECISTA DE CAPIVARI,FACECAP,SP,Privada,2,2,187,2
FACULDADE CENECISTA DE OSÓRIO,FACOS,RS,Privada,8,8,243,3
FACULDADE CENECISTA DE VARGINHA,FACECA,MG,Privada,5,3,211,3
CENTRO DE ENSINO SUPERIOR DE FARROUPILHA,CESF,RS,Privada,2,2,235,3
INSTITUTO MILITAR DE ENGENHARIA,IME,RJ,Federal,9,9,431,5
ESCOLA SUPERIOR DE PROPAGANDA E MARKETING,ESPM,SP,Privada,3,2,318,4
FACULDADE DE ENGENHARIA SÃO PAULO,FESP,SP,Privada,3,3,188,2
FACULDADE DE DIREITO MILTON CAMPOS,FDMC,MG,Privada,1,1,262,3
FACULDADE DE DESENHO INDUSTRIAL DE MAUA,FADIM,SP,Privada,1,1,60,1
FACULDADES INTEGRADAS MARIA THEREZA,FAMATh,RJ,Privada,4,4,244,3
FACULDADE DE ENFERMAGEM LUIZA DE MARILLAC,FELM,RJ,Privada,1,1,195,3
FACULDADES ASSOCIADAS DE UBERABA - FAZU,FAZU,MG,Privada,6,5,159,2
FACULDADE DE CIENCIAS CONTABEIS E ADMINISTRATIVAS DE AVARE,IESA/FACCAA,SP,Privada,1,0,,
FACULDADE DE ADMINISTRACAO DE GOVERNADOR VALADARES,FAGV,MG,Privada,1,1,236,3
FACULDADE SANTA CECÍLIA,FASC,SP,Privada,2,1,117,2
FACULDADE DE FORMAÇÃO DE PROFESSORES DE SERRA TALHADA,FAFOPST,PE,Municipal,4,3,85,1
FACULDADE DE CIÊNCIAS HUMANAS DO SUL PAULISTA,FACHI,SP,Privada,2,0,,
FACULDADE METODISTA DO SUL PAULISTA,FMSP,SP,Privada,1,1,92,1
FACULDADE PIO DÉCIMO,FPD,SE,Privada,6,4,140,2
FACULDADES INTEGRADAS CORAÇÃO DE JESUS,FAINC,SP,Privada,4,2,182,2
FACULDADES INTEGRADAS DE JACAREPAGUÁ,FIJ,RJ,Privada,4,2,225,3
FACULDADE DE ENGENHARIA DE SOROCABA,FACENS,SP,Privada,4,4,231,3
CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO,CESVASF,PE,Municipal,4,4,192,2
FACULDADE DE REABILITAÇÃO DA ASCE,FRASCE,RJ,Privada,1,1,92,1
FACULDADE DE ODONTOLOGIA DO PLANALTO CENTRAL,,DF,Privada,1,1,44,1
FACULDADE DE REABILITAÇÃO DO PLANALTO CENTRAL,,DF,Privada,1,1,147,2
