ies,sigla,uf,publica_privada,qde_cursos_fez_enade,qde_cursos_cpc,igc,igc_faixa
FACULDADE NORTE PARANAENSE,UNINORTE,PR,Privada,4,2,185,2
FACULDADE EDUCACIONAL DE CORNELIO PROCOPIO,FACED,PR,Privada,1,1,267,3
"FACULDADE BRASÍLIA DE TECNOLOGIA, CIÊNCIAS E EDUCAÇÃO",,DF,Privada,5,2,157,2
FACULDADE DE REALEZA,CESREAL,PR,Privada,2,1,150,2
FACULDADE DOM BOSCO DE UBIRATÃ,Dom Bosco,PR,Privada,2,1,149,2
FACULDADE DE CIÊNCIAS DA SAÚDE,FASU,SP,Privada,1,1,243,3
FACULDADE DE INFORMÁTICA,FATEC,PE,Privada,1,1,177,2
FACULDADE DE MAUÁ - FAMA,FAMA,SP,Privada,4,3,272,3
FACULDADE DOS GUARARAPES,FG,PE,Privada,3,3,198,3
FACULDADE FERNÃO DIAS,FAFE,SP,Privada,5,2,203,3
FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DE DIAMANTINO,UNED,MT,Privada,4,3,134,2
FACULDADE DO INSTITUTO BRASIL,FIBRA,GO,Privada,3,1,156,2
INSTITUTO DE ENSINO SUPERIOR DE BAURU,IESB,SP,Privada,5,4,226,3
FACULDADE RADIAL CURITIBA,,PR,Privada,4,1,126,2
FACULDADE PITÁGORAS DE ADMINISTRAÇÃO SUPERIOR,FPAS,MG,Privada,17,2,244,3
FACULDADE FARIAS BRITO,FFB,CE,Privada,3,3,277,3
FACULDADE LIONS,FAC-LIONS,GO,Privada,3,2,169,2
FACULDADE SUL-AMERICANA,FASAM,GO,Privada,6,5,188,2
INSTITUTO DE ENSINO SUPERIOR DO AMAPÁ,IESAP,AP,Privada,4,2,183,2
FACULDADE DE CIÊNCIAS CONTÁBEIS DE ITABIRITO,FACCI,MG,Privada,1,1,243,3
FACULDADE DE ESTUDOS SUPERIORES DE MINAS GERAIS,FEAD,MG,Privada,4,4,227,3
ESCOLA DA CIDADE - FACULDADE DE ARQUITETURA E URBANISMO,Escola da Cidade,SP,Privada,1,1,226,3
FACULDADE ANHANGUERA DE PASSO FUNDO,FAPLAN,RS,Privada,4,1,312,4
FACULDADE CENTRO PAULISTA,CESI,SP,Privada,1,0,,
FACULDADE DE JABOTICABAL,Fajab,SP,Privada,1,0,,
FACULDADE DE ARUJÁ,FAR,SP,Privada,2,2,239,3
FACULDADE DE AGUDOS,FAAG,SP,Privada,3,2,231,3
FACULDADE INTEGRADA DE ENSINO SUPERIOR DE COLINAS,FIESC,TO,Privada,5,1,237,3
ESCOLA DE ESTUDOS SUPERIORES DE VIÇOSA,ESUV,MG,Privada,2,1,236,3
FACULDADES INTEGRADAS RIO BRANCO,FRB,SP,Privada,10,8,264,3
FACULDADES INTEGRADAS DE VÁRZEA GRANDE,FIAVEC,MT,Privada,2,2,180,2
FACULDADE CASTELO BRANCO,FCB,ES,Privada,8,4,181,2
FACULDADES INTEGRADAS ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE,FIAETPP,SP,Privada,5,4,302,4
FACULDADES INTEGRADAS MACHADO DE ASSIS,FIMA,RS,Privada,3,2,212,3
FACULDADE DE ADMINISTRACAO DE CAMPO BELO,FACAMP,MG,Privada,1,1,229,3
FACULDADES INTEGRADAS STELLA MARIS DE ANDRADINA,FISMA,SP,Privada,2,2,215,3
FEFISA - FACULDADES INTEGRADAS DE SANTO ANDRÉ,FEFISA,SP,Privada,3,2,228,3
FACULDADE ATENAS MARANHENSE DE IMPERATRIZ,FAMA,MA,Privada,2,1,177,2
FACULDADE DE DIREITO DE MOGI MIRIM,FDMM,SP,Privada,1,1,152,2
FACULDADE ALVORADA DE TECNOLOGIA E EDUCAÇÃO DE MARINGÁ,FACULDADE ALVORADA,PR,Privada,7,2,169,2
ESCOLA BRASILEIRA DE ADMINISTRACAO PUBLICA E DE EMPRESAS,EBAPE,RJ,Privada,1,1,469,5
FACULDADE SABERES,Saberes,ES,Privada,1,1,207,3
FACULDADE DE TECNOLOGIA IBTA,IBTA,SP,Privada,3,2,251,3
FACULDADES INTEGRADAS CLARETIANAS,FIC,SP,Privada,8,6,224,3
FACULDADE DO NORTE NOVO DE APUCARANA,FACNOPAR,PR,Privada,4,1,241,3
FACULDADE DEHONIANA,DEHONIANA,SP,Privada,1,1,231,3
FACULDADE DE ADMINISTRACAO DE JEQUIE,FAJ,BA,Privada,1,1,198,3
FACULDADE DE CIENCIAS GERENCIAIS PADRE ARNALDO JANSSEN,FAJANSSEN,MG,Privada,1,1,239,3
FACULDADE DA REGIÃO SERRANA,FARESE,ES,Privada,4,1,321,4
FACULDADE DE MANTENA,FAMA,MG,Privada,3,0,,
FACULDADE DE ADMINISTRACAO DA ASSOCIACAO BRASILIENSE DE EDUCACAO,FABE,RS,Privada,2,1,230,3
INSTITUTO SUPERIOR DE EDUCAÇÃO ALVORADA PLUS,ISEAP,SP,Privada,3,3,166,2
FACULDADE DE CIENCIAS EMPRESARIAIS E ESTUDOS COSTEIROS DE NATAL,FACEN,RN,Privada,1,1,168,2
INSTITUTO SUPERIOR DE EDUCAÇÃO DE SANTOS DUMONT,ISESD,MG,Privada,2,1,215,3
FACULDADES INTEGRADAS REGIONAIS DE AVARÉ,FIRA,SP,Municipal,9,4,171,2
FACULDADES INTEGRADAS SANTA CRUZ DE CURITIBA,FARESC,PR,Privada,9,8,203,3
FACULDADE MERCÚRIO,FAMERC,RJ,Privada,3,2,234,3
FACULDADE DE TECNOLOGIA DE OURINHOS,FATEC,SP,Estadual,1,1,214,3
"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE IBITINGA",FAIBI,SP,Municipal,3,1,175,2
FACULDADE MUNICIPAL PROFESSOR FRANCO MONTORO DE MOGI GUAÇU,FMPFM,SP,Municipal,2,2,206,3
FACULDADE ATUAL,FAAT,AP,Privada,3,3,211,3
FACULDADE EDUCACIONAL DE ARAUCÁRIA,FACEAR,PR,Privada,7,5,220,3
FACULDADE CASA DO ESTUDANTE,FACE,ES,Privada,2,2,229,3
FACULDADE DA ESCADA,FAESC,PE,Privada,4,3,162,2
FACULDADE DE CIÊNCIAS AGRÁRIAS E DA SAÚDE,FAS,BA,Privada,8,8,222,3
FACULDADE RANCHARIENSE,FRAN,SP,Privada,1,1,203,3
UNIDADE DE ENSINO SUPERIOR DOM BOSCO,UNDB,MA,Privada,5,3,244,3
FACULDADE DE DIREITO DA SERRA,FABAVI,ES,Privada,1,1,175,2
FACULDADE DE SAÚDE TECSOMA,,MG,Privada,2,2,162,2
FACULDADE HOYLER DE LETRAS,,SP,Privada,1,0,,
FACULDADE AVILA,FAC,GO,Privada,1,1,171,2
"ESCOLA SUPERIOR DE ADMINISTRACAO, MARKETING E COMUNICACAO DE SALVADOR",FACOC SALVADOR,BA,Privada,2,2,319,4
FACULDADE ENIAC,ENIAC,SP,Privada,2,1,210,3
ESCOLA DE NEGÓCIOS DO ESTADO DA BAHIA - ENEB,ENEB,BA,Privada,5,2,203,3
FACULDADE EUROPEIA DE ADMINISTRACAO E MARKETING,FEPAM,PE,Privada,1,1,166,2
FACULDADE CHRISTUS,Christus,CE,Privada,7,5,265,3
FACULDADE DE TURISMO DE NOVA ANDRADINA,FATUR,MS,Privada,1,1,174,2
FACULDADE DE LETRAS DE NOVA ANDRADINA,FALENA,MS,Privada,1,0,,
FACULDADE DO LITORAL SUL PAULISTA,FALS,SP,Privada,4,2,168,2
FACULDADE DO NOROESTE PARANAENSE,FANP,PR,Privada,4,3,192,2
FACULDADE ANCHIETA,FAESP,PR,Privada,5,3,180,2
FACULDADE CATÓLICA DE UBERLÂNDIA,CATÓLICA,MG,Privada,6,2,250,3
FACULDADE SANTO AGOSTINHO,FACSA,BA,Privada,1,1,180,2
FACULDADE CRISTO REI,FACCREI,PR,Privada,3,1,208,3
FACULDADE SAO CAMILO,FASC,RJ,Privada,1,1,290,3
INSTITUTO DE ENSINO SUPERIOR MATERDEI,IES-MATERDEI,AM,Privada,1,1,146,2
FACULDADE EDUCACIONAL DE COLOMBO,FAEC,PR,Privada,3,2,179,2
ESCOLA DE ENSINO SUPERIOR ALTERNATIVO,CESA,ES,Privada,2,0,,
FACULDADE PEREIRA DE FREITAS,FPF,MG,Privada,3,3,206,3
FACULDADE BAIANA DE CIÊNCIAS,FABAC,BA,Privada,1,0,,
FACULDADE DE MINAS,FAMINAS,MG,Privada,15,9,220,3
FACULDADE DE CIÊNCIAS BIOMÉDICAS DE CACOAL,FACIMED,RO,Privada,10,4,178,2
FACULDADE CAPIVARI,FUCAP,SC,Privada,2,2,218,3
FACULDADE DE CIÊNCIAS EXATAS E TECNOLÓGICAS SANTO AGOSTINHO - FACET,FACET,MG,Privada,5,2,211,3
FACULDADE DE FARMÁCIA DO PLANALTO CENTRAL,,DF,Privada,1,1,137,2
FACULDADE DE SÃO BENTO,FSB,SP,Privada,1,1,287,3
FACULDADE DE DIREITO PADRE ARNALDO JANSSEN,FAJANSSEN,MG,Privada,1,1,268,3
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS SANTO AGOSTINHO,FACISA,MG,Privada,2,2,244,3
FACULDADE DE ADMINISTRACAO DE CATAGUASES,UNIPACAT,MG,Privada,1,1,203,3
FACULDADE DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE DE UNIÃO DA VITÓRIA,Uniguaçu,PR,Privada,7,6,271,3
FACULDADE CENECISTA ILHA DO GOVERNADOR,FACIG,RJ,Privada,3,1,327,4
INSTITUTO SUPERIOR DE EDUCAÇÃO DE SÃO PAULO,SINGULARIDADES/ISESP,SP,Privada,2,2,352,4
FACULDADE PALOTINA,FAPAS,RS,Privada,3,1,321,4
FACULDADE BIRIGUI,FABI,SP,Privada,7,3,149,2
FACULDADE SINOP,FASIP,MT,Privada,3,1,199,3
FACULDADE DE LUCAS DO RIO VERDE,Faculdade La Salle,MT,Privada,3,2,224,3
FACULDADE EVANGÉLICA DE SALVADOR,FACESA,BA,Privada,2,2,184,2
FACULDADE GLOBAL DE UMUARAMA,FGU,PR,Privada,3,0,,
INSTITUTO DE ENSINO SUPERIOR DE LONDRINA,INESUL,PR,Privada,6,2,166,2
FACULDADE DE NOVA SERRANA,FANS,MG,Privada,2,1,252,3
FACULDADE CUIABA,FAUC,MT,Privada,2,2,182,2
FACULDADE SERRANA DE ENSINO SUPERIOR,FASEP,DF,Privada,3,2,187,2
FACULDADE DE TECNOLOGIA IBRATEC,UNIBRATEC,PE,Privada,2,2,155,2
FACULDADE DE SORRISO,FAIS,MT,Privada,3,3,181,2
FACULDADE MATER,FAMATER,SP,Privada,1,0,,
FACULDADE DE ENSINO SUPERIOR DA PARAÍBA,FESP,PB,Privada,3,0,SC (sub judice),SC (sub judice)
FACULDADE DE PAULÍNIA,FACP,SP,Privada,3,2,240,3
FACULDADE DE ORLANDIA,FAO,SP,Privada,1,1,185,2
INSTITUTO DE EDUCAÇÃO E ENSINO SUPERIOR DE SAMAMBAIA,IESA,DF,Privada,2,2,215,3
FACULDADE DE CIÊNCIAS JURÍDICAS E SOCIAIS APLICADAS DO ARAGUAIA,Faculdades Cathedral,MT,Privada,6,3,119,2
FACULDADE DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,,SC,Privada,1,1,244,3
INSTITUTO BATISTA DE ENSINO SUPERIOR DE ALAGOAS,IBESA,AL,Privada,1,1,222,3
FACULDADE DE TECNOLOGIA SENAI JOINVILLE,SENAI de Joinville,SC,Privada,3,1,224,3
FACULDADE DE TECNOLOGIA SENAI BLUMENAU,CET Blumenau,SC,Privada,2,2,244,3
FACULDADE DE MEDICINA DO PLANALTO CENTRAL,,DF,Privada,1,1,153,2
INSTITUTO TECNOLÓGICO E DAS CIÊNCIAS SOCIAIS APLICADAS E DA SAÚDE DO CENTRO EDUC,ITCSAS/CENSA,RJ,Privada,4,3,236,3
INSTITUTO SUPERIOR DE EDUCAÇÃO DO CENTRO EDUCACIONAL NOSSA SENHORA AUXILIADORA,ISECENSA,RJ,Privada,2,2,303,4
FACULDADE DE TECNOLOGIA DE ALAGOAS,FAT/AL,AL,Privada,1,1,233,3
FACULDADE ALBERT EINSTEIN,FALBE,DF,Privada,1,0,,
FACULDADE DO VALE DO ITAPECURÚ,FAI,MA,Privada,3,3,171,2
FACULDADE ATLÂNTICO,FA,SE,Privada,2,2,140,2
FACULDADE DOS IMIGRANTES - FAI,FAI,RS,Privada,3,1,293,3
FACULDADE DO ESPÍRITO SANTO,UNES,ES,Privada,4,1,116,2
FACULDADE DE TECNOLOGIA MORUMBI SUL,FATEC-MS,SP,Privada,1,1,143,2
FACULDADE TIJUCUSSU,TIJUCUSSU,SP,Privada,3,1,218,3
INSTITUTO SUPERIOR DE EDUCAÇÃO ORÍGENES LESSA,ISEOL,SP,Privada,3,2,200,3
INSTITUTO SUPERIOR DE EDUCACAO DE CAXIAS,ISEC,MA,Privada,1,0,,
CENTRO DE ESTUDOS SUPERIORES APRENDIZ,CESA,MG,Privada,2,0,,
FACULDADE METROPOLITANA DA GRANDE FORTALEZA,FAMETRO,CE,Privada,1,1,222,3
FACULDADE SINERGIA,SINERGIA,SC,Privada,5,2,281,3
FACULDADE DE CIÊNCIAS GERENCIAIS DE MANHUAÇU,FACIG,MG,Privada,4,1,283,3
FACULDADE COMUNITÁRIA DE CAMPINAS,,SP,Privada,17,3,155,2
FACULDADE ESTÁCIO DE SÁ DE JUIZ DE FORA,FESJF,MG,Privada,9,4,233,3
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DEPUTADO JOSÉ LAVIOLA,FAFICIL,MG,Privada,1,0,,
FACULDADE AVANTIS,AVANTIS,SC,Privada,2,1,202,3
INSTITUTO SUPERIOR DE EDUCACAO AVANTIS,AVANTIS,SC,Privada,1,0,,
INSTITUTO DE ENSINO SUPERIOR DE PIEDADE,IESP,PE,Privada,3,2,170,2
FACULDADE DE CIÊNCIAS HUMANAS E DA SAÚDE,SESPA,MG,Privada,4,3,141,2
FACULDADE DE MEDICINA NOVA ESPERANÇA,FAMENE,PB,Privada,1,0,,
INSTITUTO CUIABÁ DE ENSINO E CULTURA,ICEC,MT,Privada,8,1,171,2
INSTITUTO SUPERIOR DE EDUCAÇÃO ELVIRA DAYRELL,ISEED,MG,Privada,8,7,190,2
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE SINOP,FACISAS,MT,Privada,5,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO DE SÃO GOTARDO,CESG,MG,Privada,2,0,,
FACULDADE DE TAQUARITINGA,FSG,SP,Privada,8,7,165,2
FACULDADE DE CIÊNCIAS E LETRAS,Academia de Ensino,SP,Privada,7,4,242,3
INSTITUTO SUPERIOR DE EDUCAÇÃO DE PESQUEIRA,ISEP,PE,Privada,4,2,219,3
FACULDADE SETELAGOANA DE CIENCIAS GERENCIAIS,FASCIG,MG,Privada,1,0,,
INSTITUTO SANTO TOMÁS DE AQUINO,ISTA,MG,Privada,1,1,215,3
INSTITUTO SUPERIOR DE EDUCAÇÃO DE SALGUEIRO,ISES,PE,Privada,3,1,106,2
FACULDADES EUROBRAS - ESTUDOS UNIVERSITARIOS REGIO,EUROBRAS,DF,Privada,3,3,154,2
FACULDADE DE ROLIM DE MOURA,FAROL,RO,Privada,2,0,,
FACULDADE DE GUANAMBI,,BA,Privada,6,1,255,3
FACULDADE DE CAMPINA GRANDE,FAC-CG,PB,Privada,5,2,179,2
INSTITUTO SUPERIOR DE EDUCAÇÃO CAMPO LIMPO PAULISTA,ISECAMP,SP,Privada,6,2,275,3
FACULDADE DE PEDAGOGIA E FORMAÇÃO DE NORMALISTAS DE ARAGUAÍNA,ITPAC,TO,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO DE FLORESTA,ISEF,PE,Privada,2,2,251,3
FACULDADE DE CIÊNCIAS CONTÁBEIS DE ARAGUAÍNA,ITPAC,TO,Privada,1,1,154,2
FACULDADE JAGUARIAÍVA,FAJAR,PR,Privada,3,1,208,3
FACULDADE DO PARÁ,FAP,PA,Privada,5,2,198,3
FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS,FCT,BA,Privada,2,2,261,3
FACULDADE CIDADE LUZ,FACILUZ,SP,Privada,1,0,,
FACULDADE DO FUTURO,FAF,MG,Privada,4,1,247,3
FACULDADE SUDAMÉRICA,SUDAMÉRICA,MG,Privada,4,0,,
FACULDADE FIGUEIREDO COSTA - FIC,,AL,Privada,1,0,,
FACULDADE VALE DO SALGADO,FVS,CE,Privada,2,2,177,2
INSTITUTO SUPERIOR DE EDUCACAO VALE DO SALGADO,IVS,CE,Privada,1,1,87,1
FACULDADE AMADEUS,FAMA,SE,Privada,3,1,170,2
INSTITUTO DE ESTUDOS SUPERIORES DO MARANHÃO,IESMA,MA,Privada,1,0,,
FACULDADE PARA O DESENVOLVIMENTO DE PERNAMBUCO,FADEPE,PE,Privada,1,0,,
FACULDADE DE EDUCAÇÃO DE NOVA ANDRADINA,FENA,MS,Privada,2,1,164,2
FACULDADE DA ALTA PAULISTA,FAP,SP,Privada,5,3,172,2
FACULDADE METROPOLITANA,unnesa,RO,Privada,1,1,156,2
FACULDADE DE CIENCIAS EMPRESARIAIS,FACEMP,BA,Privada,1,1,257,3
FACULDADE DE DESENVOLVIMENTO SUSTENTÁVEL DE CRUZEIRO DO SUL,IEVAL,AC,Privada,2,1,192,2
INSTITUTO SUPERIOR DE EDUCAÇÃO PADRÃO,ISE-PADRAO,GO,Privada,1,0,,
INSTITUTO DE ENSINO SUPERIOR DE ALAGOAS,IESA,AL,Privada,6,4,149,2
FACULDADE REGIONAL DA BAHIA,FARB,BA,Privada,11,2,163,2
FACULDADE ANGLO-AMERICANO,FAA,PR,Privada,5,2,176,2
FACULDADE DE ITAITUBA,FAI,PA,Privada,4,4,177,2
FACULDADE DE CIÊNCIAS MÉDICAS DA PARAÍBA,FCM-PB,PB,Privada,3,2,202,3
FACULDADE CENECISTA DE NOVA PETROPOLIS,FACENP,RS,Privada,1,0,,
INSTITUTO BAIANO DE ENSINO SUPERIOR,IBES,BA,Privada,8,7,139,2
INSTITUTO DE ENSINO SUPERIOR DE FOZ DO IGUAÇU,IESFI,PR,Privada,6,3,239,3
INSTITUTO SUPERIOR DE EDUCAÇÃO SANTO AGOSTINHO DE TERESINA,ISA,PI,Privada,2,0,,
FACULDADE DE CIÊNCIAS JURÍDICAS E GERENCIAIS DE MANHUAÇU,Faculdades Doctum,MG,Privada,1,0,,
FACULDADE KURIOS,FAK,CE,Privada,1,1,227,3
FACULDADE DE AURIFLAMA,FAU,SP,Privada,4,1,112,2
INSTITUTO SUPERIOR DE TEOLOGIA APLICADA,INTA,CE,Privada,2,0,,
FACULDADE DOM BOSCO DE PORTO ALEGRE,FDB,RS,Privada,4,3,316,4
FACULDADE DE CIÊNCIA E TECNOLOGIA,FACITEC,PR,Privada,3,0,,
INSTITUTO DE EDUCAÇÃO SUPERIOR GUAIANÁS,IESG,SP,Privada,3,2,179,2
FACULDADE DE SERGIPE,FaSe,SE,Privada,3,1,198,3
FACULDADE MAX PLANCK,AESI,SP,Privada,3,1,211,3
INSTITUTO SUPERIOR DE EDUCAÇÃO DE PARAÍSO,ISEP,MG,Privada,4,2,250,3
ESCOLA DE DIREITO DO RIO DE JANEIRO,DIREITO RIO,RJ,Privada,1,0,,
ESCOLA DE DIREITO DE SÃO PAULO,DIREITO GV,SP,Privada,1,0,,
ESCOLA DE ECONOMIA DE SAO PAULO,EESP,SP,Privada,1,0,,
FACULDADE FAPAN,FAPAN,SP,Privada,1,0,,
FACULDADE BARÃO DO RIO BRANCO,FAB,AC,Privada,11,3,133,2
"FACULDADE DE CIÊNCIAS, EDUCAÇÃO E TEOLOGIA DO NORTE DO BRASIL",FACETEN,RR,Privada,2,2,174,2
INSTITUTO FILOSÓFICO TEOLÓGICO NOSSA SENHORA IMACULADA RAINHA DO SERTÃO,IFTNSIRS,CE,Privada,11,3,203,3
FACULDADE SAO MARCOS,FASAMAR,TO,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO NOSSA SENHORA DE LOURDES,ISED,BA,Privada,3,3,266,3
FACULDADE MULTIEDUCATIVA,MULTIEDUCATIVA,DF,Privada,2,1,174,2
FACULDADE INFÓRIUM DE TECNOLOGIA,FIT,MG,Privada,2,2,177,2
FACULDADE DO ACRE,FAC,AC,Privada,4,1,194,2
FACULDADE METROPOLITANA DE MANAUS,FAMETRO,AM,Privada,9,2,174,2
INSTITUTO PALMAS DE ENSINO SUPERIOR,IPES,TO,Privada,4,0,,
INSTITUTO MATO GROSSO DO SUL DE EDUCACAO E CULTURA,ISMEC,MS,Privada,4,1,224,3
INSTITUTO TERESINA DE ENSINO E CULTURA,ITEC,PI,Privada,2,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO BERLAAR,IBERLAAR,MG,Privada,2,1,246,3
INSTITUTO SUPERIOR DE CIÊNCIAS HUMANAS E SOCIAIS ANÍSIO TEIXEIRA,ISAT,RJ,Privada,3,2,211,3
FACULDADE DE CIÊNCIAS SOCIAIS E DA SAÚDE DE CATAGUASES,,MG,Privada,1,0,,
FACULDADE SAO TOMAS DE AQUINO,FACESTA,AL,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO SANT´ANA,ISESA,PR,Privada,3,2,214,3
FACULDADE SANTA MARIA,FSM,PB,Privada,2,1,230,3
FACULDADE SANT'ANA,IESSA,PR,Privada,2,0,,
INSTITUTO CAMPO GRANDE DE ENSINO SUPERIOR,ICGES,MS,Privada,6,2,158,2
INSTITUTO BELO HORIZONTE DE ENSINO SUPERIOR,IBHES,MG,Privada,4,1,185,2
FACULDADE GUAIANAS,FAG,SP,Privada,1,0,,
FACULDADE METROPOLITANA DE BLUMENAU,FAMEBLU,SC,Privada,5,2,269,3
INSTITUTO PAULISTA DE ENSINO,FIPEN,SP,Privada,1,0,,
INSTITUTO SUPERIOR DE EDUCAÇÃO CENECISTA DE CAPIVARI,ISECC,SP,Privada,2,2,256,3
FACULDADE CENECISTA NOSSA SENHORA DOS ANJOS,FACENSA,RS,Privada,3,2,332,4
FACULDADE SALESIANA DOM BOSCO,FSDB,AM,Privada,6,2,273,3
INSTITUTO SUPERIOR DE EDUCAÇÃO NOSSA SENHORA DE SION,ISE - Sion,PR,Privada,2,1,216,3
FACULDADE DO MARANHÃO,FACAM-MA,MA,Privada,5,2,246,3
FACULDADE ATLÂNTICO SUL DE PELOTAS,FPE,RS,Privada,5,1,269,3
INSTITUTO SUPERIOR DE EDUCACAO IVOTI,ISEI,RS,Privada,1,1,419,5
FACULDADE ATLANTICO SUL DO RIO GRANDE,,RS,Privada,2,1,256,3
INSTITUTO SUPERIOR DE EDUCAÇÃO SANTA MARINA,ISESM,SP,Privada,3,2,253,3
FACULDADE MONTEIRO LOBATO,FATO,RS,Privada,2,0,,
FACULDADE VALE DO GORUTUBA,FAVAG,MG,Privada,3,1,253,3
INSTITUTO SUPERIOR DE EDUCAÇÃO DE GUARATUBA,ISEPE,PR,Privada,2,1,258,3
FACULDADE DE TUPI PAULISTA,CESTUPI,SP,Privada,1,1,233,3
FACULDADE PILARES,FAPI,PR,Privada,2,2,163,2
INSTITUTO SUPERIOR DE EDUCAÇÃO CENECISTA DE FARROUPILHA,,RS,Privada,2,1,326,4
FACULDADE DE CIÊNCIAS JURÍDICAS DE JUIZ DE FORA,Faculdades Doctum,MG,Privada,1,0,,
FACULDADE SETE DE SETEMBRO,FASETE,BA,Privada,4,4,213,3
FACULDADE DE CIÊNCIAS SOCIAIS E DA SAÚDE DE TEÓFILO OTONI,,MG,Privada,6,3,232,3
FACULDADE DE CIÊNCIAS BIOLÓGICAS JK,Faculdade JK,DF,Privada,1,1,230,3
FACULDADE VICTOR HUGO,FVH,MG,Privada,1,0,,
FACULDADE DE ADMINISTRACAO JK,Faculdade JK,DF,Privada,1,1,176,2
FACULDADE DE COMUNICACAO SOCIAL JK,Faculdade JK,DF,Privada,2,2,118,2
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE BELO HORIZONTE,FACISABH,MG,Privada,4,2,200,3
INSTITUTO CEARÁ DE ENSINO E CULTURA,ICEC,CE,Privada,1,0,,
INSTITUTO SUDESTE MINEIRO DE EDUCAÇÃO E CULTURA,ISMEC,MG,Privada,5,3,275,3
INSTITUTO PERNAMBUCO DE ENSINO E CULTURA,IPEC,PE,Privada,4,1,213,3
INSTITUTO PARAÍBA DE EDUCAÇÃO E CULTURA,IPEC,PB,Privada,5,1,163,2
INSTITUTO MACEIÓ DE ENSINO E CULTURA,IMEC,AL,Privada,4,1,150,2
FACULDADE UNIAO AMERICANA,UNIAMERICANA,RN,Privada,3,0,,
FACULDADE CHAFIC,CHAFIC,SP,Privada,2,1,177,2
INSTITUTO SERGIPE DE ENSINO SUPERIOR,ISES,SE,Privada,3,3,133,2
FACULDADE DIADEMA,FAD,SP,Privada,7,4,237,3
FACULDADE DE TECNOLOGIA IESVILLE,FATI,SC,Privada,1,1,177,2
FACULDADE DE COMUNICACAO SOCIAL DE GUARAPARI,FACOM,ES,Privada,2,1,211,3
FACULDADE CAMBURY DE FORMOSA,CAMBURY,GO,Privada,2,1,224,3
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA,FAEX,MG,Privada,3,3,211,3
FACULDADE PITÁGORAS DE IPATINGA,FPI,MG,Privada,8,2,199,3
FACULDADE DE DIREITO SANTO AGOSTINHO,FADISA,MG,Privada,1,1,279,3
INSTITUTO SUPERIOR DE EDUCAÇÃO CENECISTA DE UNAÍ,ISEC,MG,Privada,2,0,,
FACULDADE INTEGRADA METROPOLITANA DE CAMPINAS,METROCAMP,SP,Privada,17,10,256,3
FACULDADE DE CAFELÂNDIA,FAC,PR,Privada,3,1,271,3
FACULDADE ALMEIDA RODRIGUES,FAR,GO,Privada,1,1,121,2
INSTITUTO SUPERIOR DE EDUCACAO SAO JUDAS,FIA,SP,Privada,1,0,,
"FACULDADE DE CIÊNCIAS HUMANAS, BIOLÓGICAS E DA SAÚDE",,RR,Privada,4,1,206,3
FACULDADE DE DIREITO DE SANTA MARIA,FADISMA,RS,Privada,1,0,,
FACULDADE PORTO SEGURO,FAPS,ES,Privada,1,0,,
FACULDADE CIMO,FAC,MG,Privada,1,0,,
INSTITUTO DE ENSINO SUPERIOR DA FUNLEC DE BONITO,IESF,MS,Privada,2,1,195,3
FACULDADE GEREMÁRIO DANTAS,SFNSC,RJ,Privada,3,0,,
FACULDADE LUTERANA RUI BARBOSA,FALURB,PR,Privada,1,0,,
FACULDADE CEARENSE,,CE,Privada,2,0,,
INSTITUTO NACIONAL DE DESENVOLVIMENTO DO ENSINO SUPERIOR,,MG,Privada,3,0,,
FACULDADE DO DESCOBRIMENTO,FACDESCO,BA,Privada,3,1,280,3
INSTITUTO SUPERIOR DE EDUCAÇÃO ATENEU,ISEAT,ES,Privada,3,2,174,2
FACULDADE ATENEU,FATE,ES,Privada,1,1,147,2
FACULDADE DA AMAZÔNIA,FAMA,RO,Privada,3,0,,
FACULDADE ANITA GARIBALDI,FAAG,SC,Privada,3,0,,
FACULDADE ITEANA DE BOTUCATU,FITB,SP,Privada,2,0,,
FACULDADE CORPORATIVA CESPI,FACESPI,SP,Privada,1,1,197,3
INSTITUTO SUPERIOR MENDES DE ALMEIDA,IMA,RJ,Privada,3,0,,
FACULDADE MONTES BELOS,FMB,GO,Privada,10,4,158,2
FACULDADE DA ALDEIA DE CARAPICUIBA,FALC,SP,Privada,3,1,251,3
INSTITUTO SUPERIOR DE EDUCAÇÃO CERES,ISE-CERES,SP,Privada,4,2,270,3
